"text,intent"
"hello,greeting"
"hi,greeting"
"hey,greeting"
"hello there,greeting"
"hi there,greeting"
"hey there,greeting"
"good morning,greeting"
"good afternoon,greeting"
"good evening,greeting"
"yo,greeting"
"what's up,greeting"
"whats up,greeting"
"how are you,greeting"
"how are you doing,greeting"
"how's it going,greeting"
"how are u,greeting"
"hii,greeting"
"helloo,greeting"
"heyy,greeting"
"yo bro,greeting"
"yo dude,greeting"
"hey bro,greeting"
"hi bro,greeting"
"hello bro,greeting"
"hey buddy,greeting"
"hi buddy,greeting"
"hello buddy,greeting"
"hey friend,greeting"
"hi friend,greeting"
"hello friend,greeting"
"hey chatbot,greeting"
"hi chatbot,greeting"
"hello chatbot,greeting"
"hey bot,greeting"
"hi bot,greeting"
"hello bot,greeting"
"hey ai,greeting"
"hi ai,greeting"
"hello ai,greeting"
"hey assistant,greeting"
"hi assistant,greeting"
"hello assistant,greeting"
"greetings,greeting"
"warm greetings,greeting"
"good day,greeting"
"nice to meet you,greeting"
"pleased to meet you,greeting"
"great to see you,greeting"
"good to see you,greeting"
"long time no see,greeting"
"hey again,greeting"
"hi again,greeting"
"hello again,greeting"
"hey once more,greeting"
"hi once more,greeting"
"hello once more,greeting"
"yo again,greeting"
"what's going on,greeting"
"whats going on,greeting"
"how you doing today,greeting"
"how r u today,greeting"
"how are things,greeting"
"how is everything,greeting"
"how's everything,greeting"
"hey what's up,greeting"
"hi what's up,greeting"
"hello what's up,greeting"
"yo what's up,greeting"
"hey what's going on,greeting"
"hi what's going on,greeting"
"hello what's going on,greeting"
"hey how is it going,greeting"
"hi how is it going,greeting"
"hello how is it going,greeting"
"hey there buddy,greeting"
"hi there buddy,greeting"
"hello there buddy,greeting"
"hey dude,greeting"
"hi dude,greeting"
"hello dude,greeting"
"yo dude what's up,greeting"
"yo bro what's up,greeting"
"hey bro what's up,greeting"
"hi bro what's up,greeting"
"hello bro what's up,greeting"
"hey mate,greeting"
"hi mate,greeting"
"hello mate,greeting"
"good morning bro,greeting"
"good morning buddy,greeting"
"good morning friend,greeting"
"good morning chatbot,greeting"
"good afternoon bro,greeting"
"good afternoon buddy,greeting"
"good afternoon friend,greeting"
"good evening bro,greeting"
"good evening buddy,greeting"
"good evening friend,greeting"
"hi there how are you,greeting"
"hello there how are you,greeting"
"hey there how are you,greeting"
"yo how are you,greeting"
"yo how r u,greeting"
"hey how r u doing,greeting"
"hi how r u doing,greeting"
"hello how r u doing,greeting"
"hey how are things going,greeting"
"hi how are things going,greeting"
"hello how are things going,greeting"
"hey nice to see you,greeting"
"hi nice to see you,greeting"
"hello nice to see you,greeting"
"hey long time no see,greeting"
"hi long time no see,greeting"
"hello long time no see,greeting"
"hey good to see you again,greeting"
"hi good to see you again,greeting"
"hello good to see you again,greeting"
"yo good to see you,greeting"
"yo nice to meet you,greeting"
"yo hello,greeting"
"yo hi,greeting"
"sup,greeting"
"sup bro,greeting"
"sup dude,greeting"
"sup buddy,greeting"
"sup man,greeting"
"hey man,greeting"
"hi man,greeting"
"hello man,greeting"
"hey pal,greeting"
"hi pal,greeting"
"hello pal,greeting"
"hey there man,greeting"
"hi there man,greeting"
"hello there man,greeting"
"hey there friend,greeting"
"hi there friend,greeting"
"hello there friend,greeting"
"hey there bro,greeting"
"hi there bro,greeting"
"hello there bro,greeting"
"hey there dude,greeting"
"hi there dude,greeting"
"hello there dude,greeting"
"hey hey,greeting"
"hi hi,greeting"
"hello hello,greeting"
"heyyyy,greeting"
"hiiii,greeting"
"helloooo,greeting"
"yooooo,greeting"
"heyyy there,greeting"
"hiiii there,greeting"
"helloooo there,greeting"
"yo hey,greeting"
"yo hi,greeting"
"yo hello,greeting"
"hey wassup,greeting"
"hi wassup,greeting"
"hello wassup,greeting"
"wassup,greeting"
"wassup bro,greeting"
"wassup dude,greeting"
"wassup buddy,greeting"
"hey howdy,greeting"
"hi howdy,greeting"
"hello howdy,greeting"
"howdy,greeting"
"howdy partner,greeting"
"greetings friend,greeting"
"greetings buddy,greeting"
"greetings bro,greeting"
"greetings dude,greeting"
"hey greetings,greeting"
